Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-07-08 16:00:00,τους ψήφισαν τους επέτρεψαν είναι καιρός να αντιδράσουν, εδώ και λίγες μέρες με τις ψήφους μόνο της νδ αποτελεί νόμο του κράτους το νέο εργασιακό νομοσχέδιο ή καλύτερα η ταφόπλακα των δικαιωμάτων και των κεκτημένων των εργαζομένων,2021,Jul,8,0,0,0,0,0,0,0,0,0,0
2021-07-05 10:27:00,τώρα και για τους εκπαιδευτικούς μόρια αντί για αμοιβή, τη λειτουργία εκπαιδευτικών ομίλων μετά τη λήξη του ημερήσιου ωρολογίου προγράμματος διδασκαλίας προβλέπει το νέο νομοσχέδιο του υπουργείου παιδείας,2021,Jul,5,0,0,0,0,0,1,0,1,1,1
2021-07-05 04:00:00,οι κρίσεις και το δόγμα του ατομισμού, σκεφτείτε τι θα γινόταν αν ο καύσωνας της προηγούμενης εβδομάδας διαρκούσε περισσότερο και οι θερμοκρασίες ήταν υψηλότερες  οποιαδήποτε δραστηριότητα σε εξωτερικό χώρο που θα συνεπάγεται σωματική,2021,Jul,5,0,0,0,0,0,0,0,0,0,0
2021-07-04 10:26:00,το ασφαλιστικό των millennials, είναι αναγκαίο να υπάρξει αλλαγή υποδείγματος στο ασφαλιστικό αλλά και σε πολλούς ακόμη τομείς της δημόσιας ζωής η εισαγωγή της ανταποδοτικότητας στις επικουρικές συντάξεις η δημιουργία δηλαδή ενός ατομικού,2021,Jul,4,0,0,0,0,0,0,1,0,0,1
2021-07-03 06:00:00,της αλλοπάρ, οι συλλεκτικές διασκεδαστικές και γενικά απολαυστικές εκπομπές στο ραδιόφωνο του σκαϊ,2021,Jul,3,0,1,0,0,0,0,0,0,0,0
2021-07-02 21:31:00,τσίπρας νέα αρχή με στόχο τη νίκη απέναντι στη δεξιά του κ μητσοτάκη, λάβρος κατά της κυβέρνησης και του πρωθυπουργού ο α τσίπρας σημαίνοντας προσκλητήριο σε προεκλογικό αγώνα για να φύγει η κυβέρνηση της νδ,2021,Jul,2,0,1,0,0,0,1,0,0,1,1
2021-07-02 06:00:00,γεννηματά για την πανδημία δεν αρκεί η επικοινωνία, τον επικοινωνιακό τρόπο με τον οποίο επιλέγει η κυβέρνηση να διαχειρίζεται την πανδημία και σε αυτή τη φάση της στηλιτεύει το κίνημα αλλαγής επισημαίνοντας ότι ο κίνδυνος και λόγω μεταλλάξεων παραμένει,2021,Jul,2,0,1,0,0,0,1,0,2,3,3
2021-06-28 16:00:00,ιδιος ο στόχος αλλάζει μόνο ο τρόπος, στόχος της δεξιάς είναι η δημιουργία ενός καθεστώτος και ενός συστήματος που θα της επιτρέπει να ελέγχει την εξουσία ακόμη και εκτός κυβέρνησης,2021,Jun,28,0,1,0,0,0,1,0,0,0,0
2021-06-27 15:41:00,υποτιμώντας μέχρι θανάτου τη γυναίκα, η ρίζα του κακού βρίσκεται στον τρόπο εγγραφής των φύλων στο γλωσσικό σύστημα γύρω από τον άξονα της πατριαρχικής εξουσίας,2021,Jun,27,0,0,0,0,0,1,0,0,0,0
2021-06-27 11:12:00,στην ελλάδα το να ονομαστείς σκηνοθέτης θεωρείται προβιβασμός, ερμηνεύει τον οθέλλο στο έργο του σέξπιρ επικεφαλής ενός 11μελούς θιάσου που μόλις ξεκίνησε περιοδεία 45 παραστάσεων σ όλη την ελλάδα,2021,Jun,27,0,1,0,0,0,0,0,1,1,0
2021-06-27 10:33:00,από το δντ στα εθνικά σφαγεία, πέρασαν ήδη ακριβώς τριάντα χρόνια από τότε στις 25 ιουνίου 1991 οι δύο βορειότερες και πλουσιότερες ομόσπονδες δημοκρατίες της γιουγκοσλαβίας η σλοβενία και η κροατία κήρυξαν την ανεξαρτησία τους,2021,Jun,27,0,1,1,0,1,1,1,0,0,0
2021-06-27 09:50:00,η ανασυγκρότηση του ελληνικού αστισμού, τα άτομα χωρίζονται σε φοβικά και τολμηρά ικανά και ανίκανα νικητές και ηττημένους ο νέος κόσμος δεν τους χωρά όλους καλεί όμως όλους να ανταγωνιστούν για μια θέση σ αυτόν,2021,Jun,27,0,1,1,0,1,0,1,0,0,0
2021-06-26 22:53:00,φ γεννηματά o κόσμος αλλάζει και αναζητάει νέες απαντήσεις, η κυβέρνηση της νέας δημοκρατίας στη μέση της θητείας της έχει βάλει τη συντηρητική της σφραγίδα σε όλους τους τομείς της κοινωνικής και οικονομικής ζωής ανέφερε στην ομιλία της στο ηράκλειο κατά τη,2021,Jun,26,0,2,0,1,0,2,0,0,1,1
2021-06-25 16:00:00,ξαναορίζοντας τη γυναίκα, αποτελεί υπόθεση όλης της κοινωνίας να σταθεί ενάντια στη λογική της ανάθεσης και καθεμία και καθένας να αποτελέσει μέρος της αναθεώρησης της αφετηριακής βάσης προσέγγισης του έμφυλου ζητήματος,2021,Jun,25,0,0,0,0,1,0,1,1,1,1
